Clave,Institución
040002,Banamex
040012,BBVA México
040014,Santander
040021,HSBC
040030,Banco del Bajío
040032,Ixe
040036,Inbursa
040037,Interacciones
040042,Banca Mifel
040044,Scotiabank
040058,Banregio
040059,Invex
040060,Bansí
040062,Afirme
040072,Banorte
040102,Accendo Banco
040103,American Express
040106,Bank of America
040108,MUFG Bank
040110,J.P. Morgan
040112,Monex
040113,Ve por Más
040124,Deutsche Bank
,
040126,Credit Suisse
040127,Banco Azteca
040128,Autofin
040130,Compartamos
040131,Banco Ahorro Famsa
040132,Multiva
040133,Actinver
040134,Banco Wal-Mart
040136,Intercam Banco
040137,BanCoppel
040138,ABC Capital
040140,Consubanco
040143,CIBanco
040145,Banco Base
040146,Banco Bicentenario
040147,Bankaool
040150,Inmobiliario Mexicano
040151,Dondé Banco
040152,Bancrea
040154,Finterra
040155,ICBC
040156,Sabadell
040157,Shinhan
040158,Mizuho Bank
040307,Santander Vivienda
